;Row	Column	Xpos	Ypos	State
;=======================================
;Alatau
;=======================================
1	1	126	0	1
1	2	120	0	1
1	3	114	0	1
1	4	108	0	1
1	5	102	0	1
1	6	96	0	1
1	7	90	0	1
1	8	84	0	1
1	9	78	0	1
1	10	72	0	1
1	11	66	0	1
1	12	60	0	1
1	13	54	0	1
1	14	48	0	1
1	15	42	0	1
1	16	36	0	1
2	1	144	6	1
2	2	138	6	1
2	3	132	6	1
2	4	126	6	1
2	5	120	6	1
2	6	114	6	1
2	7	108	6	1
2	8	102	6	1
2	9	96	6	1
2	10	90	6	1
2	11	84	6	1
2	12	78	6	1
2	13	72	6	1
2	14	66	6	1
2	15	60	6	1
2	16	54	6	1
2	17	48	6	1
2	18	42	6	1
2	19	36	6	1
2	20	30	6	1
2	21	24	6	1
2	22	18	6	1
3	1	162	12	1
3	2	156	12	1
3	3	150	12	1
3	4	144	12	1
3	5	138	12	1
3	6	132	12	1
3	7	126	12	1
3	8	120	12	1
3	9	114	12	1
3	10	108	12	1
3	11	102	12	1
3	12	96	12	1
3	13	90	12	1
3	14	84	12	1
3	15	78	12	1
3	16	72	12	1
3	17	66	12	1
3	18	60	12	1
3	19	54	12	1
3	20	48	12	1
3	21	42	12	1
3	22	36	12	1
3	23	30	12	1
3	24	24	12	1
3	25	18	12	1
3	26	12	12	1
3	27	6	12	1
3	28	0	12	1
4	1	162	18	1
4	2	156	18	1
4	3	150	18	1
4	4	144	18	1
4	5	138	18	1
4	6	132	18	1
4	7	126	18	1
4	8	120	18	1
4	9	114	18	1
4	10	108	18	1
4	11	102	18	1
4	12	96	18	1
4	13	90	18	1
4	14	84	18	1
4	15	78	18	1
4	16	72	18	1
4	17	66	18	1
4	18	60	18	1
4	19	54	18	1
4	20	48	18	1
4	21	42	18	1
4	22	36	18	1
4	23	30	18	1
4	24	24	18	1
4	25	18	18	1
4	26	12	18	1
4	27	6	18	1
4	28	0	18	1
5	1	162	24	1
5	2	156	24	1
5	3	150	24	1
5	4	144	24	1
5	5	138	24	1
5	6	132	24	1
5	7	126	24	1
5	8	120	24	1
5	9	114	24	1
5	10	108	24	1
