;Row	Column	Xpos	Ypos	State
;=======================================
;Plan-Tst
;=======================================
1	1	114	0	1
1	2	108	0	1
1	3	102	0	1
1	4	96	0	1
1	5	90	0	1
1	6	84	0	1
1	7	78	0	1
1	8	72	0	1
1	9	66	0	1
1	10	60	0	1
1	11	54	0	1
1	12	48	0	1
1	13	42	0	1
1	14	36	0	1
1	15	30	0	1
1	16	24	0	1
1	17	18	0	1
1	18	12	0	1
1	19	6	0	1
1	20	0	0	1
2	1	114	6	1
2	2	108	6	1
2	3	102	6	1
2	4	96	6	1
2	5	90	6	1
2	6	84	6	1
2	7	78	6	1
2	8	72	6	1
2	9	66	6	1
2	10	60	6	1
2	11	54	6	1
2	12	48	6	1
2	13	42	6	1
2	14	36	6	1
2	15	30	6	1
2	16	24	6	1
2	17	18	6	1
2	18	12	6	1
2	19	6	6	1
2	20	0	6	1
3	1	114	12	1
3	2	108	12	1
3	3	102	12	1
3	4	96	12	1
3	5	90	12	1
3	6	84	12	1
3	7	78	12	1
3	8	72	12	1
3	9	66	12	1
3	10	60	12	1
3	11	54	12	1
3	12	48	12	1
3	13	42	12	1
3	14	36	12	1
3	15	30	12	1
3	16	24	12	1
3	17	18	12	1
3	18	12	12	1
3	19	6	12	1
3	20	0	12	1
4	1	114	18	1
4	2	108	18	1
4	3	102	18	1
4	4	96	18	1
4	5	90	18	1
4	6	84	18	1
4	7	78	18	1
4	8	72	18	1
4	9	66	18	1
4	10	60	18	1
4	11	54	18	1
4	12	48	18	1
4	13	42	18	1
4	14	36	18	1
4	15	30	18	1
4	16	24	18	1
4	17	18	18	1
4	18	12	18	1
4	19	6	18	1
4	20	0	18	1
5	1	114	24	1
5	2	108	24	1
5	3	102	24	1
5	4	96	24	1
5	5	90	24	1
5	6	84	24	1
5	7	78	24	1
5	8	72	24	1
5	9	66	24	1
5	10	60	24	1
5	11	54	24	1
5	12	48	24	1
5	13	42	24	1
5	14	36	24	1
5	15	30	24	1
5	16	24	24	1
5	17	18	24	1
5	18	12	24	1
5	19	6	24	1
5	20	0	24	1
6	1	114	30	1
6	2	108	30	1
6	3	102	30	1
6	4	96	30	1
6	5	90	30	1
6	6	84	30	1
6	7	78	30	1
6	8	72	30	1
6	9	66	30	1
6	10	60	30	1
6	11	54	30	1
6	12	48	30	1
6	13	42	30	1
6	14	36	30	1
6	15	30	30	1
6	16	24	30	1
6	17	18	30	1
6	18	12	30	1
6	19	6	30	1
6	20	0	30	1
7	1	114	36	1
7	2	108	36	1
7	3	102	36	1
7	4	96	36	1
7	5	90	36	1
7	6	84	36	1
7	7	78	36	1
7	8	72	36	1
7	9	66	36	1
7	10	60	36	1
7	11	54	36	1
7	12	48	36	1
7	13	42	36	1
7	14	36	36	1
7	15	30	36	1
7	16	24	36	1
7	17	18	36	1
7	18	12	36	1
7	19	6	36	1
7	20	0	36	1
8	1	114	42	1
8	2	108	42	1
8	3	102	42	1
8	4	96	42	1
8	5	90	42	1
8	6	84	42	1
8	7	78	42	1
8	8	72	42	1
8	9	66	42	1
8	10	60	42	1
8	11	54	42	1
8	12	48	42	1
8	13	42	42	1
8	14	36	42	1
8	15	30	42	1
8	16	24	42	1
8	17	18	42	1
8	18	12	42	1
8	19	6	42	1
8	20	0	42	1
;=======================================
