;Row	Column	Xpos	Ypos	State
;=======================================
;Sary-Arka
;=======================================
1	1	156	0	1
1	2	150	0	1
1	3	144	0	1
1	4	138	0	1
1	5	132	0	1
1	6	126	0	1
1	7	120	0	1
1	8	114	0	1
1	9	108	0	1
1	10	102	0	1
1	11	96	0	1
1	12	90	0	1
1	13	84	0	1
1	14	78	0	1
1	15	72	0	1
1	16	66	0	1
1	17	60	0	1
1	18	54	0	1
1	19	48	0	1
1	20	42	0	1
1	21	36	0	1
1	22	30	0	1
2	1	174	6	1
2	2	168	6	1
2	3	162	6	1
2	4	156	6	1
2	5	150	6	1
2	6	144	6	1
2	7	138	6	1
2	8	132	6	1
2	9	126	6	1
2	10	120	6	1
2	11	114	6	1
2	12	108	6	1
2	13	102	6	1
2	14	96	6	1
2	15	90	6	1
2	16	84	6	1
2	17	78	6	1
2	18	72	6	1
2	19	66	6	1
2	20	60	6	1
2	21	54	6	1
2	22	48	6	1
2	23	42	6	1
2	24	36	6	1
2	25	30	6	1
2	26	24	6	1
2	27	18	6	1
2	28	12	6	1
3	1	174	12	1
3	2	168	12	1
3	3	162	12	1
3	4	156	12	1
3	5	150	12	1
3	6	144	12	1
3	7	138	12	1
3	8	132	12	1
3	9	126	12	1
3	10	120	12	1
3	11	114	12	1
3	12	108	12	1
3	13	102	12	1
3	14	96	12	1
3	15	90	12	1
3	16	84	12	1
3	17	78	12	1
3	18	72	12	1
3	19	66	12	1
3	20	60	12	1
3	21	54	12	1
3	22	48	12	1
3	23	42	12	1
3	24	36	12	1
3	25	30	12	1
3	26	24	12	1
3	27	18	12	1
3	28	12	12	1
4	1	174	18	1
4	2	168	18	1
4	3	162	18	1
4	4	156	18	1
4	5	150	18	1
4	6	144	18	1
4	7	138	18	1
4	8	132	18	1
4	9	126	18	1
4	10	120	18	1
4	11	114	18	1
4	12	108	18	1
4	13	102	18	1
4	14	96	18	1
4	15	90	18	1
4	16	84	18	1
4	17	78	18	1
4	18	72	18	1
4	19	66	18	1
4	20	60	18	1
4	21	54	18	1
4	22	48	18	1
4	23	42	18	1
4	24	36	18	1
4	25	30	18	1
4	26	24	18	1
4	27	18	18	1
4	28	12	18	1
5	1	180	29	1
5	2	174	29	1
5	3	168	29	1
5	4	162	29	1
5	5	156	29	1
5	6	150	29	1
5	7	144	29	1
5	8	138	29	1
5	9	132	29	1
5	10	126	29	1
5	11	120	29	1
5	12	114	29	1
5	13	108	29	1
5	14	102	29	1
5	15	78	29	1
5	16	72	29	1
5	17	66	29	1
5	18	60	29	1
5	19	54	29	1
5	20	48	29	1
5	21	42	29	1
5	22	36	29	1
5	23	30	29	1
5	24	24	29	1
5	25	18	29	1
5	26	12	29	1
5	27	6	29	1
5	28	0	29	1
6	1	180	35	1
6	2	174	35	1
6	3	168	35	1
6	4	162	35	1
6	5	156	35	1
6	6	150	35	1
6	7	144	35	1
6	8	138	35	1
6	9	132	35	1
6	10	126	35	1
6	11	120	35	1
6	12	114	35	1
6	13	108	35	1
6	14	102	35	1
6	15	78	35	1
6	16	72	35	1
6	17	66	35	1
6	18	60	35	1
6	19	54	35	1
6	20	48	35	1
6	21	42	35	1
6	22	36	35	1
6	23	30	35	1
6	24	24	35	1
6	25	18	35	1
6	26	12	35	1
6	27	6	35	1
6	28	0	35	1
7	1	180	41	1
7	2	174	41	1
7	3	168	41	1
7	4	162	41	1
7	5	156	41	1
7	6	150	41	1
7	7	144	41	1
7	8	138	41	1
7	9	132	41	1
7	10	126	41	1
7	11	120	41	1
7	12	114	41	1
7	13	108	41	1
7	14	102	41	1
7	15	78	41	1
7	16	72	41	1
7	17	66	41	1
7	18	60	41	1
7	19	54	41	1
7	20	48	41	1
7	21	42	41	1
7	22	36	41	1
7	23	30	41	1
7	24	24	41	1
7	25	18	41	1
7	26	12	41	1
7	27	6	41	1
7	28	0	41	1
8	1	180	47	1
8	2	174	47	1
8	3	168	47	1
8	4	162	47	1
8	5	156	47	1
8	6	150	47	1
8	7	144	47	1
8	8	138	47	1
8	9	132	47	1
8	10	126	47	1
8	11	120	47	1
8	12	114	47	1
8	13	108	47	1
8	14	102	47	1
8	15	78	47	1
8	16	72	47	1
8	17	66	47	1
8	18	60	47	1
8	19	54	47	1
8	20	48	47	1
8	21	42	47	1
8	22	36	47	1
8	23	30	47	1
8	24	24	47	1
8	25	18	47	1
8	26	12	47	1
8	27	6	47	1
8	28	0	47	1
9	1	180	53	1
9	2	174	53	1
9	3	168	53	1
9	4	162	53	1
9	5	156	53	1
9	6	150	53	1
9	7	144	53	1
9	8	138	53	1
9	9	132	53	1
9	10	126	53	1
9	11	120	53	1
9	12	114	53	1
9	13	108	53	1
9	14	102	53	1
9	15	78	53	1
9	16	72	53	1
9	17	66	53	1
9	18	60	53	1
9	19	54	53	1
9	20	48	53	1
9	21	42	53	1
9	22	36	53	1
9	23	30	53	1
9	24	24	53	1
9	25	18	53	1
9	26	12	53	1
9	27	6	53	1
9	28	0	53	1
10	1	180	59	1
10	2	174	59	1
10	3	168	59	1
