;Row	Column	Xpos	Ypos	State
;=======================================
;Plan Test
;=======================================
1	1	24	0	1
1	2	18	0	1
1	3	12	0	1
1	4	6	0	1
2	1	30	6	1
2	2	24	6	1
2	3	18	6	1
2	4	12	6	1
2	5	6	6	1
2	6	0	6	1
3	1	30	12	1
3	2	24	12	1
3	3	18	12	1
3	4	12	12	1
3	5	6	12	1
3	6	0	12	1
4	1	30	18	1
4	2	24	18	1
4	3	18	18	1
4	4	12	18	1
4	5	6	18	1
4	6	0	18	1
5	1	30	24	1
5	2	24	24	1
5	3	18	24	1
5	4	12	24	1
5	5	6	24	1
5	6	0	24	1
6	1	30	30	1
6	2	24	30	1
6	3	18	30	1
6	4	12	30	1
6	5	6	30	1
6	6	0	30	1
7	1	30	36	1
7	2	24	36	1
7	3	18	36	1
7	4	12	36	1
7	5	6	36	1
7	6	0	36	1
8	1	24	42	1
8	2	18	42	1
8	3	12	42	1
8	4	6	42	1
;=======================================
